team,playerId,firstName,lastName,positionCode,gamesPlayed,goals,assists,points,plusMinus,shots,shootingPctg,satPercentage,usatPercentage,zoneStartPct5v5,avgTimeOnIcePerGame,birthCountry,birthDate,blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,faceoffWinPctg,firstGoals,gameWinningGoals,giveaways,giveawaysPer60,heightInInches,hits,hitsPer60,missedShotCrossbar,missedShotFailedBankAttempt,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,otGoals,overtimeGoals,penaltyMinutes,powerPlayGoals,satPercentageAhead,satPercentageBehind,satPercentageClose,satPercentageTied,satRelative,seasonId,shootingPct5v5,shootsCatches,shootsCatches_roster,shorthandedGoals,shotAttemptsBlocked,skaterFullName,skaterSavePct5v5,skaterShootingPlusSavePct5v5,sweaterNumber,takeaways,takeawaysPer60,teamAbbrevs,timeOnIcePerGame,timeOnIcePerGame5v5,totalShotAttempts,usatPercentageAhead,usatPercentageBehind,usatPercentageTied,usatPrecentageClose,usatRelative,weightInPounds
ANA,8485512,Tim,Washe,C,28,2,3,5,3,26,0.076923,0.498,0.517,0.292,699.1786,,,21,3.86,0,0,0,0.567857,0,0,8,1.47,,69,12.68,1,0,0,4,2,13,20,0,0,12,0,0.44,0.577,0.461,0.474,-0.009,,0.079,,,0,12,Tim Washe,0.934,1.013,,8,1.47,ANA,699.17,560.571,58,0.471,0.588,0.488,0.48,0.013,
BOS,8476374,Sean,Kuraly,C,72,5,12,17,-5,95,0.052632,0.494,0.5,0.322,801.2778,,,40,2.49,1,1,2,0.507389,1,1,51,3.18,,75,4.68,0,1,2,3,0,36,42,0,0,41,0,0.446,0.529,0.506,0.518,0.007,,0.076,,,0,35,Sean Kuraly,0.904,0.98,,17,1.06,BOS,801.27,617.819,172,0.453,0.522,0.535,0.51,0.016,
BOS,8476854,Hampus,Lindholm,D,58,4,18,22,-4,88,0.045455,0.508,0.506,0.468,1306.8276,,,92,4.36,0,0,0,0.0,1,2,70,3.32,,9,0.42,1,0,1,2,2,34,40,0,0,56,1,0.45,0.576,0.502,0.507,0.042,,0.088,,,0,87,Hampus Lindholm,0.896,0.984,,23,1.09,BOS,1306.82,972.586,215,0.449,0.559,0.519,0.496,0.045,
BOS,8477496,Elias,Lindholm,C,59,14,29,43,-5,99,0.141414,0.472,0.463,0.51,1074.9831,,,52,2.95,5,1,6,0.558209,1,2,46,2.61,,35,1.98,0,2,4,4,1,58,69,0,0,36,6,0.443,0.458,0.497,0.51,-0.021,,0.102,,,0,56,Elias Lindholm,0.897,0.999,,14,0.79,BOS,1074.98,777.627,224,0.452,0.433,0.497,0.489,-0.032,
BOS,8477507,Nikita,Zadorov,D,71,2,18,20,21,95,0.021053,0.485,0.482,0.437,1258.8028,,,96,3.86,0,0,0,0.0,0,1,80,3.22,,173,6.96,2,0,2,5,2,33,44,0,0,144,0,0.457,0.521,0.497,0.485,-0.004,,0.102,,,0,87,Nikita Zadorov,0.932,1.034,,32,1.28,BOS,1258.8,1025.929,226,0.453,0.512,0.489,0.497,-0.007,
BOS,8477956,David,Pastrnak,R,67,29,61,90,4,232,0.125,0.491,0.481,0.562,1242.3134,,,26,1.12,4,2,6,0.285714,6,4,118,5.1,,78,3.37,1,1,3,7,7,96,115,1,1,60,10,0.488,0.517,0.493,0.472,0.0,,0.125,,,0,157,David Pastrnak,0.904,1.029,,27,1.16,BOS,1242.31,918.985,504,0.491,0.496,0.458,0.478,-0.016,
BOS,8478042,Viktor,Arvidsson,L,60,20,22,42,17,154,0.12987,0.503,0.507,0.432,875.15,,,31,2.12,0,1,1,0.538462,2,6,44,3.01,,22,1.5,0,4,3,5,3,67,82,0,0,22,4,0.482,0.552,0.486,0.491,0.022,,0.138,,,0,79,Viktor Arvidsson,0.931,1.069,,15,1.02,BOS,875.15,714.933,315,0.501,0.54,0.49,0.488,0.028,
BOS,8478401,Pavel,Zacha,C,69,24,30,54,1,114,0.210526,0.484,0.489,0.439,1021.6087,,,25,1.27,0,1,1,0.518779,6,4,53,2.7,,57,2.91,0,0,4,1,1,56,62,2,2,28,8,0.466,0.538,0.471,0.457,-0.005,,0.123,,,0,25,Pavel Zacha,0.907,1.03,,17,0.86,BOS,1021.6,722.275,201,0.48,0.531,0.463,0.476,0.0,
BOS,8479325,Charlie,McAvoy,D,60,10,45,55,8,97,0.103093,0.483,0.487,0.5,1459.9,,,108,4.43,3,0,3,0.0,1,1,75,3.08,,72,2.95,1,0,3,3,2,53,62,1,1,54,2,0.46,0.516,0.471,0.481,-0.01,,0.124,,,0,76,Charlie McAvoy,0.901,1.025,,25,1.02,BOS,1459.9,1005.5,235,0.466,0.519,0.483,0.475,-0.005,
BOS,8479362,Riley,Tufte,L,4,1,0,1,-1,4,0.25,0.461,0.487,0.238,700.25,,,1,1.28,,0,,0.0,0,0,1,1.28,,7,8.99,1,0,0,0,0,3,4,0,0,0,1,0.0,0.481,0.523,0.448,-0.028,,0.0,,,0,0,Riley Tufte,0.947,0.947,,0,0.0,BOS,700.25,623.25,8,,0.5,0.473,0.56,0.015,
BOS,8479369,Andrew,Peeke,D,67,4,9,13,-7,72,0.055556,0.481,0.479,0.419,1160.2836,,,119,5.51,0,1,1,0.0,1,0,53,2.45,,88,4.07,0,0,1,3,0,44,48,0,0,20,0,0.45,0.516,0.49,0.486,-0.014,,0.081,,,0,63,Andrew Peeke,0.914,0.995,,9,0.41,BOS,1160.28,979.208,183,0.459,0.502,0.481,0.48,-0.016,
BOS,8479591,Michael,Eyssimont,C,52,8,10,18,-4,100,0.08,0.509,0.501,0.421,650.7692,,,17,1.8,1,0,1,0.5,0,1,35,3.72,,51,5.42,1,2,1,1,0,36,41,0,0,31,1,0.472,0.558,0.519,0.496,0.039,,0.071,,,0,37,Michael Eyssimont,0.913,0.984,,3,0.31,BOS,650.76,596.192,178,0.452,0.546,0.5,0.508,0.032,
BOS,8479661,Tanner,Jeannot,L,68,6,15,21,-6,71,0.084507,0.479,0.479,0.409,765.0,,,51,3.52,1,0,1,0.444444,1,1,39,2.69,,211,14.6,0,0,3,3,1,34,41,0,0,59,0,0.442,0.534,0.485,0.477,-0.012,,0.081,,,0,51,Tanner Jeannot,0.909,0.99,,5,0.34,BOS,765.0,665.705,163,0.427,0.532,0.5,0.488,-0.012,
BOS,8479987,Morgan,Geekie,C,71,34,28,62,-4,163,0.208589,0.488,0.478,0.538,1046.1549,,,28,1.35,2,1,3,0.458065,5,5,67,3.24,,100,4.84,2,1,4,4,4,68,83,1,1,18,12,0.465,0.506,0.504,0.494,-0.001,,0.1,,,0,63,Morgan Geekie,0.915,1.015,,17,0.82,BOS,1046.15,800.563,309,0.462,0.481,0.489,0.49,-0.014,
BOS,8479999,Casey,Mittelstadt,C,62,14,23,37,8,71,0.197183,0.505,0.511,0.436,907.1935,,,18,1.15,1,0,1,0.508671,3,2,66,4.22,,20,1.28,0,1,3,2,1,43,50,0,0,12,2,0.496,0.534,0.496,0.487,0.021,,0.131,,,0,22,Casey Mittelstadt,0.908,1.039,,10,0.64,BOS,907.19,762.967,143,0.518,0.514,0.501,0.506,0.029,
BOS,8480035,Henri,Jokiharju,D,37,0,11,11,3,32,0.0,0.5,0.502,0.431,1074.7297,,,34,3.07,0,0,0,0.0,0,0,46,4.16,,23,2.08,0,1,1,2,2,21,27,0,0,14,0,0.49,0.538,0.492,0.477,0.012,,0.116,,,0,38,Henri Jokiharju,0.901,1.017,,6,0.54,BOS,1074.72,953.891,97,0.494,0.509,0.503,0.504,0.012,
BOS,8480355,Mark,Kastelic,C,72,9,9,18,1,88,0.102273,0.471,0.469,0.355,765.4444,,,60,3.91,1,1,2,0.59879,0,3,37,2.41,,198,12.93,0,2,4,3,2,47,58,0,0,128,0,0.412,0.525,0.479,0.497,-0.021,,0.081,,,1,44,Mark Kastelic,0.929,1.01,,26,1.69,BOS,765.44,618.527,190,0.401,0.525,0.508,0.479,-0.022,
BOS,8480828,Michael,Callahan,D,5,0,0,0,-1,3,0.0,0.587,0.652,0.482,779.4,,,9,8.31,,0,,0.0,0,0,3,2.77,,3,2.77,0,0,0,0,0,1,1,0,0,0,0,0.428,0.666,0.569,0.633,0.12,,0.088,,,0,0,Michael Callahan,0.777,0.865,,2,1.84,BOS,779.4,702.6,4,0.555,0.677,0.7,0.627,0.178,
BOS,8480887,Jordan,Harris,D,6,1,1,2,-1,10,0.1,0.575,0.576,0.411,942.0,,,3,1.91,0,0,0,0.0,0,0,5,3.18,,4,2.54,0,0,0,0,0,4,4,0,0,0,0,0.375,0.587,0.593,0.625,0.084,,0.075,,,0,1,Jordan Harris,0.87,0.945,,1,0.63,BOS,942.0,818.0,15,0.384,0.605,0.592,0.557,0.082,
BOS,8481219,Jonathan,Aspirot,D,51,3,9,12,27,38,0.078947,,,,996.8824,,,67,4.74,1,0,1,0.0,0,0,43,3.04,,79,5.59,0,0,0,2,2,25,29,0,0,41,0,,,,,,,,,,0,32,Jonathan Aspirot,,,,8,0.56,BOS,996.88,,99,,,,,,
BOS,8481599,Victor,Soderstrom,D,8,0,1,1,3,8,0.0,0.439,0.439,0.597,820.625,,,10,5.48,0,0,0,0.0,0,0,11,6.03,,1,0.54,0,0,0,0,0,3,3,0,0,0,0,0.431,0.423,0.488,0.479,-0.074,,0.15,,,0,4,Victor Soderstrom,0.956,1.106,,2,1.09,BOS,820.62,813.5,15,0.442,0.454,0.406,0.482,-0.084,
BOS,8481712,Matěj ,Blümel,R,4,0,0,0,-3,4,0.0,0.441,0.469,0.4,652.0,,,2,2.76,,0,,0.0,0,0,3,4.14,,2,2.76,0,0,1,0,0,1,2,0,0,0,0,0.5,0.551,0.396,0.351,-0.017,,0.0,,,0,4,Matej Blümel,0.875,0.875,,0,0.0,BOS,652.0,554.5,10,0.5,0.583,0.347,0.432,0.025,
BOS,8482117,Lukas,Reichel,L,23,3,4,7,-2,19,0.157895,,,,756.3043,,,,,,,,0.393162,,1,,,,,,,,,,,,,,0,6,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,
BOS,8482177,Marat,Khusnutdinov,C,67,14,17,31,15,72,0.194444,0.476,0.469,0.515,865.2537,,,36,2.23,0,2,2,0.472727,2,1,39,2.42,,37,2.29,2,1,1,2,1,28,35,1,1,14,0,0.45,0.481,0.501,0.5,-0.02,,0.123,,,0,19,Marat Khusnutdinov,0.925,1.048,,20,1.24,BOS,865.25,723.641,126,0.448,0.453,0.503,0.493,-0.025,
BOS,8482511,Mason,Lohrei,D,67,7,18,25,11,67,0.104478,,,,1015.9104,,,85,4.49,0,0,0,0.0,1,0,84,4.44,,30,1.58,0,1,2,5,2,40,50,0,0,20,2,,,,,,,,,,0,69,Mason Lohrei,,,,18,0.95,BOS,1015.91,,186,,,,,,
BOS,8482634,Alex,Steeves,C,41,9,7,16,5,52,0.173077,0.495,0.502,0.483,719.2195,,,27,3.29,0,0,0,0.428571,1,0,22,2.68,,140,17.09,3,0,2,1,1,24,31,0,0,32,1,0.463,0.547,0.492,0.49,0.0,,0.093,,,1,23,Alex Steeves,0.921,1.014,,9,1.09,BOS,719.21,618.268,106,0.463,0.573,0.485,0.49,0.013,
BOS,8483489,Fraser,Minten,C,72,16,16,32,22,102,0.156863,0.499,0.504,0.553,923.8333,,,46,2.48,0,1,1,0.48615,2,2,34,1.84,,127,6.87,1,0,1,0,2,42,46,2,2,16,1,0.482,0.552,0.485,0.474,0.014,,0.111,,,0,51,Fraser Minten,0.937,1.048,,25,1.35,BOS,923.83,727.555,199,0.482,0.566,0.478,0.486,0.023,
BOS,8483505,Matthew,Poitras,C,3,1,0,1,1,8,0.125,0.53,0.5,0.4,727.0,,,2,3.3,,0,,0.388889,0,0,1,1.65,,0,0.0,0,0,0,0,0,0,0,0,0,4,0,0.605,0.454,0.384,0.411,0.025,,0.052,,,0,0,Matthew Poitras,1.0,1.052,,0,0.0,BOS,727.0,681.666,8,0.551,0.6,0.333,0.312,0.013,
BOS,8483567,Georgii,Merkulov,C,1,0,0,0,-1,0,0.0,0.409,0.388,0.75,635.0,,,0,0.0,,0,,0.0,0,0,0,0.0,,0,0.0,0,0,0,0,0,1,1,0,0,0,0,,0.428,0.142,0.0,-0.09,,0.0,,,0,0,Georgii Merkulov,0.857,0.857,,0,0.0,BOS,635.0,635.0,1,,0.411,0.0,0.142,-0.049,
BUF,8474568,Luke,Schenn,D,48,1,6,7,-13,34,0.029412,,,,822.0625,,,,,,,,0.0,,0,,,,,,,,,,,,,,0,41,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,
BUF,8475722,Jason,Zucker,L,53,22,17,39,-4,111,0.198198,0.49,0.482,0.516,935.4717,,,17,1.23,0,0,0,0.377193,6,5,59,4.28,,50,3.63,1,2,3,2,3,42,53,0,0,21,10,0.493,0.496,0.514,0.479,-0.015,,0.111,,,0,26,Jason Zucker,0.908,1.019,,6,0.43,BUF,935.47,717.188,190,0.487,0.486,0.472,0.502,-0.023,
BUF,8475842,Sam,Carrick,C,70,9,7,16,2,72,0.125,,,,634.2429,,,,,,,,0.54224,,1,,,,,,,,,,,,,,0,60,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,
BUF,8476871,Tanner,Pearson,L,53,7,6,13,8,52,0.134615,,,,650.9057,,,,,,,,0.2,,2,,,,,,,,,,,,,,0,27,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,
BUF,8477419,Mason,Geertsen,L,5,0,0,0,-1,1,0.0,,,,247.2,,,0,0.0,,0,,0.0,0,0,0,0.0,,8,23.3,0,0,0,0,0,0,0,0,0,12,0,,,,,,,,,,0,1,Mason Geertsen,,,,0,0.0,BUF,247.2,,2,,,,,,
BUF,8477949,Alex,Tuch,R,69,29,30,59,18,169,0.171598,0.507,0.508,0.548,1131.4058,,,78,3.59,3,1,4,0.426471,4,2,54,2.49,,75,3.45,4,4,7,2,3,91,111,1,1,51,7,0.456,0.561,0.521,0.515,0.02,,0.125,,,3,50,Alex Tuch,0.915,1.04,,33,1.52,BUF,1131.4,823.6,330,0.474,0.547,0.512,0.512,0.021,
BUF,8478413,Jordan,Greenway,L,33,1,4,5,-9,29,0.034483,0.424,0.442,0.307,743.7273,,,15,2.2,0,0,0,0.266667,0,0,17,2.49,,49,7.18,0,0,2,0,1,12,15,0,0,23,0,0.402,0.464,0.443,0.409,-0.069,,0.05,,,0,14,Jordan Greenway,0.905,0.955,,5,0.73,BUF,743.72,627.303,58,0.406,0.503,0.414,0.476,-0.051,
BUF,8479359,Beck,Malenstyn,L,71,6,7,13,1,63,0.095238,0.457,0.472,0.246,672.7183,,,69,5.2,2,0,2,0.428571,0,0,32,2.41,,247,18.61,2,1,0,2,0,27,32,0,0,36,0,0.401,0.537,0.493,0.464,-0.04,,0.077,,,1,26,Beck Malenstyn,0.914,0.991,,11,0.82,BUF,672.71,559.458,121,0.408,0.54,0.494,0.514,-0.024,
BUF,8479378,Logan,Stanley,D,67,9,14,23,2,84,0.107143,,,,1020.0746,,,,,,,,0.0,,1,,,,,,,,,,,,,,0,110,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,
BUF,8479420,Tage,Thompson,C,72,36,38,74,-5,242,0.14876,,,,1150.4444,,,43,1.86,5,3,8,0.446452,3,4,63,2.73,,75,3.25,6,1,10,12,2,90,121,0,0,29,5,,,,,,,,,,0,133,Tage Thompson,,,,26,1.12,BUF,1150.44,,496,,,,,,
BUF,8479941,Justin,Danforth,R,4,0,0,0,-2,2,0.0,0.396,0.325,0.576,702.25,,,4,5.12,,0,,0.548387,0,0,3,3.84,,3,3.84,0,0,0,1,0,0,1,0,0,2,0,0.0,0.431,0.357,0.352,-0.113,,0.0,,,0,3,Justin Danforth,0.894,0.894,,0,0.0,BUF,702.25,519.5,6,0.0,0.321,0.363,0.235,-0.16,
BUF,8479982,Conor,Timmins,D,34,0,6,6,-11,35,0.0,0.441,0.448,0.439,1147.5882,,,72,6.64,0,0,0,0.0,0,0,40,3.69,,27,2.49,0,0,2,2,1,18,23,0,0,16,0,0.42,0.48,0.445,0.412,-0.076,,0.093,,,0,34,Conor Timmins,0.888,0.981,,8,0.73,BUF,1147.58,936.0,92,0.436,0.474,0.425,0.456,-0.062,
BUF,8480064,Josh,Norris,C,34,10,15,25,4,51,0.196078,0.518,0.536,0.49,956.0882,,,18,1.99,1,3,4,0.496718,0,3,16,1.77,,11,1.21,0,0,1,1,1,24,27,0,0,8,2,0.465,0.601,0.568,0.526,0.019,,0.111,,,0,24,Josh Norris,0.922,1.033,,6,0.66,BUF,956.08,717.142,102,0.496,0.587,0.55,0.584,0.036,
BUF,8480802,Ryan,McLeod,C,72,12,38,50,26,84,0.142857,0.504,0.502,0.462,1057.0556,,,29,1.37,3,3,6,0.475862,1,1,81,3.83,,16,0.75,2,1,1,5,1,34,44,0,0,12,0,0.493,0.565,0.491,0.458,0.017,,0.129,,,5,36,Ryan McLeod,0.907,1.036,,35,1.65,BUF,1057.05,751.52,164,0.494,0.553,0.461,0.482,0.013,
BUF,8480807,Mattias,Samuelsson,D,69,12,27,39,34,98,0.122449,0.472,0.476,0.455,1378.8551,,,140,5.29,3,1,4,0.0,1,3,69,2.61,,111,4.2,0,0,0,4,0,41,45,1,1,24,0,0.456,0.535,0.483,0.437,-0.028,,0.122,,,1,75,Mattias Samuelsson,0.911,1.033,,16,0.6,BUF,1378.85,1144.342,218,0.467,0.521,0.447,0.482,-0.024,
BUF,8480839,Rasmus,Dahlin,D,68,15,50,65,11,174,0.086207,0.518,0.517,0.5,1462.0882,,,75,2.71,0,2,2,0.0,5,0,104,3.76,,63,2.28,1,2,8,8,1,58,78,0,0,66,5,0.472,0.57,0.535,0.523,0.039,,0.105,,,0,134,Rasmus Dahlin,0.91,1.015,,28,1.01,BUF,1462.08,1132.768,386,0.475,0.564,0.522,0.531,0.035,
